iter	Passed	Remaining
0	84	16882
1	172	17113
2	199	13132
3	224	10987
4	249	9735
5	278	9013
6	303	8366
7	327	7863
8	353	7498
9	376	7160
10	401	6894
11	426	6681
12	450	6481
13	474	6304
14	498	6143
15	520	5991
16	545	5871
17	570	5771
18	594	5667
19	619	5576
20	642	5477
21	667	5396
22	690	5310
23	716	5253
24	742	5198
25	765	5125
26	788	5054
27	811	4986
28	835	4923
29	863	4894
30	888	4841
31	912	4790
32	936	4740
33	961	4691
34	994	4688
35	1037	4727
36	1075	4737
37	1108	4724
38	1140	4709
39	1179	4717
40	1212	4704
41	1244	4681
42	1279	4670
43	1326	4703
44	1353	4662
45	1378	4614
46	1402	4564
47	1426	4517
48	1451	4472
49	1475	4427
50	1501	4385
51	1526	4345
52	1551	4304
53	1575	4259
54	1598	4215
55	1624	4176
56	1649	4137
57	1673	4096
58	1696	4054
59	1719	4012
60	1742	3969
61	1765	3929
62	1794	3902
63	1828	3884
64	1855	3853
65	1881	3820
66	1905	3783
67	1941	3768
68	1990	3779
69	2035	3779
70	2063	3748
71	2088	3712
72	2113	3677
73	2139	3642
74	2164	3608
75	2189	3572
76	2214	3537
77	2238	3501
78	2262	3465
79	2287	3431
80	2311	3396
81	2335	3360
82	2359	3325
83	2382	3290
84	2406	3255
85	2432	3224
86	2457	3191
87	2481	3158
88	2504	3123
89	2529	3091
90	2552	3056
91	2575	3023
92	2600	2992
93	2622	2957
94	2648	2927
95	2707	2932
96	2770	2942
97	2811	2925
98	2847	2905
99	2881	2881
100	2913	2856
101	2938	2823
102	2963	2791
103	2990	2760
104	3017	2730
105	3041	2697
106	3066	2665
107	3089	2631
108	3116	2601
109	3140	2569
110	3165	2538
111	3189	2506
112	3214	2474
113	3240	2444
114	3271	2417
115	3300	2389
116	3334	2365
117	3375	2345
118	3414	2324
119	3453	2302
120	3491	2279
121	3524	2253
122	3564	2231
123	3605	2209
124	3646	2188
125	3689	2166
126	3735	2146
127	3772	2121
128	3814	2099
129	3855	2076
130	3896	2052
131	3932	2025
132	3975	2002
133	4011	1975
134	4055	1952
135	4097	1928
136	4144	1905
137	4206	1889
138	4266	1872
139	4303	1844
140	4345	1818
141	4385	1791
142	4427	1764
143	4470	1738
144	4516	1713
145	4550	1682
146	4593	1656
147	4637	1629
148	4684	1603
149	4720	1573
150	4747	1540
151	4776	1508
152	4801	1475
153	4828	1442
154	4855	1409
155	4882	1377
156	4908	1344
157	4933	1311
158	4962	1279
159	4988	1247
160	5014	1214
161	5042	1182
162	5070	1150
163	5098	1119
164	5127	1087
165	5154	1055
166	5181	1023
167	5209	992
168	5237	960
169	5264	929
170	5322	902
171	5366	873
172	5465	853
173	5568	832
174	5677	811
175	5763	785
176	5807	754
177	5854	723
178	5898	692
179	5940	660
180	5978	627
181	6016	595
182	6054	562
183	6104	530
184	6162	499
185	6213	467
186	6264	435
187	6316	403
188	6360	370
189	6410	337
190	6474	305
191	6534	272
192	6586	238
193	6631	205
194	6681	171
195	6734	137
196	6782	103
197	6827	68
198	6861	34
199	6893	0
